Route,Description,Line
UL1,Shepherd’s Bush-Willesden Junction,Hammersmith & City
UL2,Richmond-Camden Road,District
UL3,Clapham Junction-Canada Water,London Overground
UL4,Barnet-King’s Cross (from 2016),Northern
UL5,Rayners Lane-Gunnersbury,Piccadilly
UL6,Wembley Park-Baker Street,Jubilee
UL7,Barking-Seven Sisters,London Overground
UL8,Seven Sisters-Gospel Oak,London Overground
UL9,Richmond-Turnham Green,District
UL10,Chingford-Liverpool Street,London Overground
UL11,Earl’s Court-Olympia,District
UL12,Loughton-Stratford City,Central
UL13,Watford Junction-Harrow & Wealdstone,London Overground
UL14,Uxbridge-Wembley Park,Metropolitan
UL15,Stanmore-Wembley Park-Stonebridge Park,Jubilee
UL16,Romford-Stratford City,London Overground
UL17,West Ruislip-North Acton-Willesden Junction,Central
UL18,Cheshunt-Bush Hill Park-Liverpool Street,London Overground
UL19,Harrow & Wealdstone-Queens Park,Bakerloo
UL20,Barking-Canning Town-Tower Gateway,London Overground
UL21,Stratford City-Hampstead Heath,London Overground
UL22,Stratford City-Hampstead Heath,London Overground
UL23,Dalston Junction-Shadwell,London Overground
UL24,Dagenham East-Plaistow-Canning Town,District
UL25,Upminster-Barking,District
UL26,Wimbledon-Putney Bridge-Hammersmith or Fulham Broadway,District
UL27,Mill Hill East-Finchley Central,Northern
UL28,Hampstead Heath-Crouch Hill-Finsbury Park,London Overground
UL29,Osterley-Hammersmith,Piccadilly
UL30,Wimbledon-Earl’s Court/Olympia,District
UL31,Poplar All Saints-Monument,DLR
UL32,Woodford-Hainault-Ilford,Central
UL33,Finchley Road-Golders Green-Euston/Warren Street,Jubilee
UL34,Finchley Central-Arnos Grove,Northern
UL35,Walthamstow Central-Finsbury Park,Victoria
UL36,Ealing Broadway-Shepherd’s Bush,Central
UL37,Brixton-Victoria,Victoria
UL38,Northfields-Gunnersbury,District
UL39,Hampstead Heath to Richmond,London Overground
UL40,Chingford-Liverpool Street,London Overground
UL41,Morden-Stockwell,Northern
UL42,Stratford City-Camden Road,London Overground
UL44,Stratford City-Highbury & Islington,London Overground
UL45,Epping-Loughton,Central
UL46,Island Gardens-Limehouse,DLR
UL47,Redbridge-Stratford City,Central
UL48,London City Airport-Canning Town,DLR
UL49,North Acton-Willesden Junction - Paddington,Bakerloo
UL50,Enfield Town-Liverpool Street (operated by Sullivan unless otherwise stated),London Overground
UL51,Shenfield-Chadwell Heath-Newbury Park,TfL Rail
UL52,Beckton-Canning Town,DLR
UL53,Dalston Junction-New Cross Gate,London Overground
UL55,Canons Park-Edgware-Chalk Farm or Finchley Road,Northern
UL56,Colindale-Euston,Northern
UL57,Walthamstow Central-Hackney Downs,London Overground
UL58,Barnet-Finchley Central,Northern
UL59,Theydon Bois-Loughton,Central
UL60,Chingford-Hackney Downs,London Overground
UL61,Canning Town-Canary Wharf-Stratford,Jubilee
UL62,Canning Town-Canary Wharf-Tower Gateway/Monument,DLR
UL63,Wimbledon-Fulham Broadway,District
UL64,South Wimbledon-Wimbledon - Fulham Broadway,District
UL65,Cheshunt-Hackney Downs,London Overground
UL66,Enfield Town-Hackney Downs,London Overground
UL67,Cockfosters-Wood Green,Piccadilly
UL68,Barking-Plaistow-Canning Town,Hammersmith & City
UL69,Chingford-Hackney Downs,London Overground
UL70,Stratford City-Richmond,London Overground
UL71,Earl’s Court-Heathrow Airport,Piccadilly
UL72,Acton Town-Green Park,District
UL73,Richmond-Acton Central,London Overground
UL74,Northolt-White City,Central
UL75,Beckton-Canary Wharf,DLR
UL76,Acton Town-Hammersmith,District
UL77,Willesden Junction-Camden Road,London Overground
UL78,Uxbridge-Harrow,Metropolitan
UL79,Barking-Liverpool Street,Hammersmith & City
UL80,Barking-Plaistow-Canning Town,Hammersmith & City
UL81,Slough-Paddington,Great Western Railway
UL82,Hates & Harlington-Ealing Broadway,Great Western Railway
UL83,Slough-Hillingdon,Piccadilly
UL84,Slough-Iver,Great Western Railway
UL85,Rayners Lane-Stonebridge Park,Metropolitan
UL86,Rayners Lane-Wembley Park,Metropolitan
UL87,Rayners Lane-Ealing Broadway,Metropolitan
UL88,Richmond-Earl’s Court,District
UL89,Ilford-Stratford City,TfL Rail
UL90,Maidenhead-Slough,Great Western Railway
UL91,Northfields-Hammersmith,District
UL92,Harrow on the Hill/Stonebridge Park-Baker Street,Metropolitan
UL93,Epping-Stratford,Central
UL94,Acton Town-Hammersmith,District
UL95,Lewisham-Canada Water,DLR
UL96,West Ruislip-North Acton-Willesden Junction,Central
,,
